# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.63944e+02,-1.59542e+02,1.10000e+00,1.10000e+00
-2.62252e+02,-1.55552e+02,1.10000e+00,1.10000e+00
-2.60458e+02,-1.51598e+02,1.10000e+00,1.10000e+00
-2.58566e+02,-1.47682e+02,1.10000e+00,1.10000e+00
-2.56586e+02,-1.43808e+02,1.10000e+00,1.10000e+00
-2.54524e+02,-1.39978e+02,1.10000e+00,1.10000e+00
-2.52387e+02,-1.36193e+02,1.10000e+00,1.10000e+00
-2.50182e+02,-1.32458e+02,1.10000e+00,1.10000e+00
-2.47918e+02,-1.28774e+02,1.10000e+00,1.10000e+00
-2.45601e+02,-1.25142e+02,1.10000e+00,1.10000e+00
-2.43246e+02,-1.21546e+02,1.10000e+00,1.10000e+00
-2.40867e+02,-1.17953e+02,1.10000e+00,1.10000e+00
-2.38484e+02,-1.14333e+02,1.10000e+00,1.10000e+00
-2.36117e+02,-1.10655e+02,1.10000e+00,1.10000e+00
-2.33832e+02,-1.06900e+02,1.10000e+00,1.10000e+00
-2.31731e+02,-1.03053e+02,1.10000e+00,1.10000e+00
-2.29914e+02,-9.91005e+01,1.10000e+00,1.10000e+00
-2.28477e+02,-9.50322e+01,1.10000e+00,1.10000e+00
-2.27451e+02,-9.08601e+01,1.10000e+00,1.10000e+00
-2.26826e+02,-8.66133e+01,1.10000e+00,1.10000e+00
-2.26590e+02,-8.23214e+01,1.10000e+00,1.10000e+00
-2.26731e+02,-7.80138e+01,1.10000e+00,1.10000e+00
-2.27237e+02,-7.37200e+01,1.10000e+00,1.10000e+00
-2.28095e+02,-6.94695e+01,1.10000e+00,1.10000e+00
-2.29294e+02,-6.52918e+01,1.10000e+00,1.10000e+00
-2.30821e+02,-6.12163e+01,1.10000e+00,1.10000e+00
-2.32665e+02,-5.72725e+01,1.10000e+00,1.10000e+00
-2.34814e+02,-5.34899e+01,1.10000e+00,1.10000e+00
-2.37255e+02,-4.98979e+01,1.10000e+00,1.10000e+00
-2.39976e+02,-4.65261e+01,1.10000e+00,1.10000e+00
-2.42966e+02,-4.34039e+01,1.10000e+00,1.10000e+00
-2.46212e+02,-4.05608e+01,1.10000e+00,1.10000e+00
-2.49702e+02,-3.80262e+01,1.10000e+00,1.10000e+00
-2.53424e+02,-3.58280e+01,1.10000e+00,1.10000e+00
-2.57344e+02,-3.39743e+01,1.10000e+00,1.10000e+00
-2.61419e+02,-3.24606e+01,1.10000e+00,1.10000e+00
-2.65607e+02,-3.12821e+01,1.10000e+00,1.10000e+00
-2.69864e+02,-3.04339e+01,1.10000e+00,1.10000e+00
-2.74156e+02,-2.98996e+01,1.10000e+00,1.10000e+00
-2.78473e+02,-2.96424e+01,1.10000e+00,1.10000e+00
-2.82803e+02,-2.96228e+01,1.10000e+00,1.10000e+00
-2.87138e+02,-2.98015e+01,1.10000e+00,1.10000e+00
-2.91470e+02,-3.01372e+01,1.10000e+00,1.10000e+00
-2.95796e+02,-3.05849e+01,1.10000e+00,1.10000e+00
-3.00113e+02,-3.10991e+01,1.10000e+00,1.10000e+00
-3.04419e+02,-3.16346e+01,1.10000e+00,1.10000e+00
-3.08713e+02,-3.21645e+01,1.10000e+00,1.10000e+00
-3.13001e+02,-3.26955e+01,1.10000e+00,1.10000e+00
-3.17287e+02,-3.32375e+01,1.10000e+00,1.10000e+00
-3.21576e+02,-3.38004e+01,1.10000e+00,1.10000e+00
-3.25869e+02,-3.43928e+01,1.10000e+00,1.10000e+00
-3.30164e+02,-3.50203e+01,1.10000e+00,1.10000e+00
-3.34458e+02,-3.56887e+01,1.10000e+00,1.10000e+00
-3.38747e+02,-3.64035e+01,1.10000e+00,1.10000e+00
-3.43028e+02,-3.71703e+01,1.10000e+00,1.10000e+00
-3.47298e+02,-3.79947e+01,1.10000e+00,1.10000e+00
-3.51554e+02,-3.88822e+01,1.10000e+00,1.10000e+00
-3.55791e+02,-3.98384e+01,1.10000e+00,1.10000e+00
-3.60007e+02,-4.08688e+01,1.10000e+00,1.10000e+00
-3.64199e+02,-4.19792e+01,1.10000e+00,1.10000e+00
-3.68363e+02,-4.31750e+01,1.10000e+00,1.10000e+00
-3.72496e+02,-4.44618e+01,1.10000e+00,1.10000e+00
-3.76594e+02,-4.58452e+01,1.10000e+00,1.10000e+00
-3.80655e+02,-4.73307e+01,1.10000e+00,1.10000e+00
-3.84675e+02,-4.89240e+01,1.10000e+00,1.10000e+00
-3.88650e+02,-5.06308e+01,1.10000e+00,1.10000e+00
-3.92570e+02,-5.24676e+01,1.10000e+00,1.10000e+00
-3.96408e+02,-5.44699e+01,1.10000e+00,1.10000e+00
-4.00138e+02,-5.66749e+01,1.10000e+00,1.10000e+00
-4.03733e+02,-5.91197e+01,1.10000e+00,1.10000e+00
-4.07146e+02,-6.18349e+01,1.10000e+00,1.10000e+00
-4.10298e+02,-6.48399e+01,1.10000e+00,1.10000e+00
-4.13106e+02,-6.81531e+01,1.10000e+00,1.10000e+00
-4.15487e+02,-7.17922e+01,1.10000e+00,1.10000e+00
-4.17355e+02,-7.57321e+01,1.10000e+00,1.10000e+00
-4.18616e+02,-7.98760e+01,1.10000e+00,1.10000e+00
-4.19178e+02,-8.41200e+01,1.10000e+00,1.10000e+00
-4.18947e+02,-8.83609e+01,1.10000e+00,1.10000e+00
-4.17908e+02,-9.25054e+01,1.10000e+00,1.10000e+00
-4.16173e+02,-9.64777e+01,1.10000e+00,1.10000e+00
-4.13863e+02,-1.00203e+02,1.10000e+00,1.10000e+00
-4.11101e+02,-1.03609e+02,1.10000e+00,1.10000e+00
-4.07987e+02,-1.06652e+02,1.10000e+00,1.10000e+00
-4.04581e+02,-1.09342e+02,1.10000e+00,1.10000e+00
-4.00942e+02,-1.11694e+02,1.10000e+00,1.10000e+00
-3.97128e+02,-1.13720e+02,1.10000e+00,1.10000e+00
-3.93160e+02,-1.15265e+02,1.10000e+00,1.10000e+00
-3.89007e+02,-1.15920e+02,1.10000e+00,1.10000e+00
-3.84691e+02,-1.15629e+02,1.10000e+00,1.10000e+00
-3.80331e+02,-1.14938e+02,1.10000e+00,1.10000e+00
-3.76003e+02,-1.14252e+02,1.10000e+00,1.10000e+00
-3.71699e+02,-1.13672e+02,1.10000e+00,1.10000e+00
-3.67403e+02,-1.13276e+02,1.10000e+00,1.10000e+00
-3.63100e+02,-1.13137e+02,1.10000e+00,1.10000e+00
-3.58786e+02,-1.13300e+02,1.10000e+00,1.10000e+00
-3.54470e+02,-1.13760e+02,1.10000e+00,1.10000e+00
-3.50181e+02,-1.14536e+02,1.10000e+00,1.10000e+00
-3.45978e+02,-1.15693e+02,1.10000e+00,1.10000e+00
-3.41995e+02,-1.17365e+02,1.10000e+00,1.10000e+00
-3.38485e+02,-1.19784e+02,1.10000e+00,1.10000e+00
-3.35679e+02,-1.23100e+02,1.10000e+00,1.10000e+00
-3.33674e+02,-1.27015e+02,1.10000e+00,1.10000e+00
-3.32487e+02,-1.31155e+02,1.10000e+00,1.10000e+00
-3.31969e+02,-1.35404e+02,1.10000e+00,1.10000e+00
-3.31924e+02,-1.39723e+02,1.10000e+00,1.10000e+00
-3.32154e+02,-1.44070e+02,1.10000e+00,1.10000e+00
-3.32491e+02,-1.48411e+02,1.10000e+00,1.10000e+00
-3.32890e+02,-1.52741e+02,1.10000e+00,1.10000e+00
-3.33346e+02,-1.57060e+02,1.10000e+00,1.10000e+00
-3.33851e+02,-1.61369e+02,1.10000e+00,1.10000e+00
-3.34398e+02,-1.65672e+02,1.10000e+00,1.10000e+00
-3.34980e+02,-1.69968e+02,1.10000e+00,1.10000e+00
-3.35590e+02,-1.74259e+02,1.10000e+00,1.10000e+00
-3.36222e+02,-1.78548e+02,1.10000e+00,1.10000e+00
-3.36870e+02,-1.82834e+02,1.10000e+00,1.10000e+00
-3.37532e+02,-1.87119e+02,1.10000e+00,1.10000e+00
-3.38207e+02,-1.91402e+02,1.10000e+00,1.10000e+00
-3.38897e+02,-1.95684e+02,1.10000e+00,1.10000e+00
-3.39600e+02,-1.99963e+02,1.10000e+00,1.10000e+00
-3.40316e+02,-2.04241e+02,1.10000e+00,1.10000e+00
-3.41046e+02,-2.08517e+02,1.10000e+00,1.10000e+00
-3.41789e+02,-2.12791e+02,1.10000e+00,1.10000e+00
-3.42545e+02,-2.17062e+02,1.10000e+00,1.10000e+00
-3.43314e+02,-2.21332e+02,1.10000e+00,1.10000e+00
-3.44095e+02,-2.25599e+02,1.10000e+00,1.10000e+00
-3.44889e+02,-2.29864e+02,1.10000e+00,1.10000e+00
-3.45696e+02,-2.34127e+02,1.10000e+00,1.10000e+00
-3.46514e+02,-2.38387e+02,1.10000e+00,1.10000e+00
-3.47345e+02,-2.42645e+02,1.10000e+00,1.10000e+00
-3.48187e+02,-2.46900e+02,1.10000e+00,1.10000e+00
-3.49041e+02,-2.51153e+02,1.10000e+00,1.10000e+00
-3.49905e+02,-2.55404e+02,1.10000e+00,1.10000e+00
-3.50779e+02,-2.59652e+02,1.10000e+00,1.10000e+00
-3.51660e+02,-2.63899e+02,1.10000e+00,1.10000e+00
-3.52549e+02,-2.68144e+02,1.10000e+00,1.10000e+00
-3.53442e+02,-2.72389e+02,1.10000e+00,1.10000e+00
-3.54340e+02,-2.76632e+02,1.10000e+00,1.10000e+00
-3.55241e+02,-2.80875e+02,1.10000e+00,1.10000e+00
-3.56144e+02,-2.85118e+02,1.10000e+00,1.10000e+00
-3.57047e+02,-2.89361e+02,1.10000e+00,1.10000e+00
-3.57949e+02,-2.93604e+02,1.10000e+00,1.10000e+00
-3.58848e+02,-2.97849e+02,1.10000e+00,1.10000e+00
-3.59745e+02,-3.02094e+02,1.10000e+00,1.10000e+00
-3.60637e+02,-3.06341e+02,1.10000e+00,1.10000e+00
-3.61523e+02,-3.10589e+02,1.10000e+00,1.10000e+00
-3.62402e+02,-3.14839e+02,1.10000e+00,1.10000e+00
-3.63279e+02,-3.19090e+02,1.10000e+00,1.10000e+00
-3.64186e+02,-3.23333e+02,1.10000e+00,1.10000e+00
-3.65162e+02,-3.27556e+02,1.10000e+00,1.10000e+00
-3.66246e+02,-3.31751e+02,1.10000e+00,1.10000e+00
-3.67465e+02,-3.35908e+02,1.10000e+00,1.10000e+00
-3.68797e+02,-3.40034e+02,1.10000e+00,1.10000e+00
-3.70207e+02,-3.44138e+02,1.10000e+00,1.10000e+00
-3.71658e+02,-3.48229e+02,1.10000e+00,1.10000e+00
-3.73122e+02,-3.52315e+02,1.10000e+00,1.10000e+00
-3.74590e+02,-3.56399e+02,1.10000e+00,1.10000e+00
-3.76060e+02,-3.60481e+02,1.10000e+00,1.10000e+00
-3.77529e+02,-3.64562e+02,1.10000e+00,1.10000e+00
-3.78995e+02,-3.68644e+02,1.10000e+00,1.10000e+00
-3.80456e+02,-3.72727e+02,1.10000e+00,1.10000e+00
-3.81909e+02,-3.76813e+02,1.10000e+00,1.10000e+00
-3.83351e+02,-3.80903e+02,1.10000e+00,1.10000e+00
-3.84782e+02,-3.84998e+02,1.10000e+00,1.10000e+00
-3.86202e+02,-3.89096e+02,1.10000e+00,1.10000e+00
-3.87613e+02,-3.93198e+02,1.10000e+00,1.10000e+00
-3.89017e+02,-3.97302e+02,1.10000e+00,1.10000e+00
-3.90416e+02,-4.01409e+02,1.10000e+00,1.10000e+00
-3.91813e+02,-4.05516e+02,1.10000e+00,1.10000e+00
-3.93209e+02,-4.09624e+02,1.10000e+00,1.10000e+00
-3.94606e+02,-4.13731e+02,1.10000e+00,1.10000e+00
-3.96006e+02,-4.17838e+02,1.10000e+00,1.10000e+00
-3.97410e+02,-4.21943e+02,1.10000e+00,1.10000e+00
-3.98820e+02,-4.26046e+02,1.10000e+00,1.10000e+00
-4.00235e+02,-4.30147e+02,1.10000e+00,1.10000e+00
-4.01656e+02,-4.34245e+02,1.10000e+00,1.10000e+00
-4.03085e+02,-4.38341e+02,1.10000e+00,1.10000e+00
-4.04522e+02,-4.42433e+02,1.10000e+00,1.10000e+00
-4.05967e+02,-4.46522e+02,1.10000e+00,1.10000e+00
-4.07421e+02,-4.50606e+02,1.10000e+00,1.10000e+00
-4.08884e+02,-4.54688e+02,1.10000e+00,1.10000e+00
-4.10351e+02,-4.58768e+02,1.10000e+00,1.10000e+00
-4.11821e+02,-4.62849e+02,1.10000e+00,1.10000e+00
-4.13290e+02,-4.66931e+02,1.10000e+00,1.10000e+00
-4.14756e+02,-4.71018e+02,1.10000e+00,1.10000e+00
-4.16217e+02,-4.75109e+02,1.10000e+00,1.10000e+00
-4.17669e+02,-4.79208e+02,1.10000e+00,1.10000e+00
-4.19108e+02,-4.83316e+02,1.10000e+00,1.10000e+00
-4.20508e+02,-4.87436e+02,1.10000e+00,1.10000e+00
-4.21826e+02,-4.91572e+02,1.10000e+00,1.10000e+00
-4.23019e+02,-4.95728e+02,1.10000e+00,1.10000e+00
-4.24046e+02,-4.99907e+02,1.10000e+00,1.10000e+00
-4.24862e+02,-5.04115e+02,1.10000e+00,1.10000e+00
-4.25425e+02,-5.08354e+02,1.10000e+00,1.10000e+00
-4.25693e+02,-5.12630e+02,1.10000e+00,1.10000e+00
